"team","player","position","status","details"
"LAC","Derius Davis","WR","Out","OUT"
"LAC","Tucker Fisk","TE","Questionable","QUESTIONABLE"
"LAC","Will Dissly","TE","Questionable","QUESTIONABLE"
"LAC","Mekhi Becton","G","Questionable","QUESTIONABLE"
"LAC","Joe Alt","OT","Out","OUT"
"LV","Aidan O'Connell","QB","Injured Reserve - RES","IR"
"LV","Brock Bowers","TE","Questionable","QUESTIONABLE"
"LV","Michael Mayer","TE","Questionable","QUESTIONABLE"
"LV","Brennan Jackson","LB","Injured Reserve","IR"
"LV","Kolton Miller","OT","Injured Reserve","IR"
"MIA","Tyreek Hill","WR","Injured Reserve","IR"
"MIA","Cedrick Wilson Jr.","WR","Out","OUT"
"MIA","Jason Marshall Jr.","CB","Injured Reserve","IR"
"MIA","Storm Duck","CB","Out","OUT"
"MIA","Jason Sanders","PK","Injured Reserve","IR-R"
"MIN","J.J. McCarthy","QB","Out","OUT"
"MIN","Ben Yurosek","TE","Questionable","QUESTIONABLE"
"MIN","Michael Jurgens","G","Out","OUT"
"MIN","Donovan Jackson","G","Out","OUT"
"MIN","Ryan Kelly","C","Injured Reserve","IR"
"MIN","Tyler Batty","LB","Injured Reserve","IR-R"
"MIN","Andrew Van Ginkel","LB","Out","OUT"
"MIN","C.J. Ham","FB","Injured Reserve","IR-R"
"MIN","Brian O'Neill","OT","Out","OUT"
"NE","Milton Williams","DE","Questionable","QUESTIONABLE"
"NE","Jahlani Tavai","LB","Injured Reserve","IR-R"
"NE","K'Lavon Chaisson","LB","Out","OUT"
"NE","Carlton Davis III","CB","Questionable","QUESTIONABLE"
"NO","Taysom Hill","QB","Injured Reserve - RES","IR"
"NO","Trey Palmer","WR","Out","OUT"
"NO","Taysom Hill","TE","Out","PUP-R"
"NO","Foster Moreau","TE","Out","QUESTIONABLE"
"NO","Juwan Johnson","TE","Questionable","QUESTIONABLE"
"NO","Cesar Ruiz","C","Out","OUT"
"NO","Chase Young","DE","Out","OUT"
"NO","John Ridgeway III","DT","Injured Reserve","IR-R"
"NO","Isaac Yiadom","CB","Out","OUT"
"NO","Trevor Penning","OT","Questionable","QUESTIONABLE"
"NO","Dillon Radunz","OT","Questionable","QUESTIONABLE"
"NYG","Tyrone Tracy Jr.","RB","Doubtful","DOUBTFUL"
"NYG","Malik Nabers","WR","Injured Reserve","IR"
"NYG","Dexter Lawrence II","DT","Questionable","QUESTIONABLE"
"NYG","Demetrius Flannigan-Fowles","LB","Out","OUT"
"NYG","Anthony Johnson Jr.","S","Out","PUP-R"
"NYG","Tyler Nubin","S","Questionable","QUESTIONABLE"
"NYJ","Braelon Allen","RB","Injured Reserve","IR"
"NYJ","Kene Nwangwu","RB","Questionable","QUESTIONABLE"
